NUMERO_LAUDO,DATA,FROTA,PARECER,ANALISE,CONCLUSAO
21103,07/04/2025,4002,HARDWARE COM DEFEITO,REALIZADA A SUBSTITUICAO COM PECA DE REPOSICAO ENVIADO PELA SOLINFTEC,O SENSOR DE UMIDADE E TEMPERATURA ESTAVA COM DEFEITO E APOS A SUBSTITUICAO POR UM NOVO EQUIPAMENTO RETORNOU O
21108,07/04/2025,160045,ATUALIZACAO DE SOFTWARE E HARDWARE,FORAM SUBSTITUIDAS AS INSTALACÕES ONDE HAVIA MAG100,INSTALACAO DE MAGX E ATUALIZACAO DE FIRMWARES E APLICATIVOS
22181,22/05/2025,4003,EQUIPAMENTOS CLIMATICOS ACUSANDO VOLTAGEM DE BATERIA BAIXA NO SGPA,FOI REALIZADA A SUBSTITUICAO DE BATERIAS E LIMPEZA DE PLACAS SOLARES,APOS LIMPEZA E TROCA OS EQUIPAMENTOS PARARAM DE ACUSAR VOLTAGEM BAIXA.
22181,22/05/2025,438,EQUIPAMENTOS CLIMATICOS ACUSANDO VOLTAGEM DE BATERIA BAIXA NO SGPA,FOI REALIZADA A SUBSTITUICAO DE BATERIAS E LIMPEZA DE PLACAS SOLARES,APOS LIMPEZA E TROCA OS EQUIPAMENTOS PARARAM DE ACUSAR VOLTAGEM BAIXA.
22213,23/05/2025,4003,BATERIAS DANIFICADAS E SEM CARGA,BATERIAS APOS ANOS DE USO APRESENTAM FALHAS,APOS TESTES COM MULTIMETRO CONCLUI-SE QUE AS BATERIAS NAO ESTAO APTAS PARA O USO.
22213,23/05/2025,4010,BATERIAS DANIFICADAS E SEM CARGA,BATERIAS APOS ANOS DE USO APRESENTAM FALHAS,APOS TESTES COM MULTIMETRO CONCLUI-SE QUE AS BATERIAS NAO ESTAO APTAS PARA O USO.
22229,26/05/2025,419,BATERIAS,BATERIA COM CARGAS BAIXAS NOS EQUIPAMENTOS 419 E 430,"APOS SUBSTITUICAO DAS BATERIAS OS EQUIPAMENTOS RETORNARAM O CORRETO FUNCIONAMENTO, ENTRETANTO O 430 RETORNOU COM"
22229,26/05/2025,430,BATERIAS,BATERIA COM CARGAS BAIXAS NOS EQUIPAMENTOS 419 E 430,"APOS SUBSTITUICAO DAS BATERIAS OS EQUIPAMENTOS RETORNARAM O CORRETO FUNCIONAMENTO, ENTRETANTO O 430 RETORNOU COM"
22417,03/06/2025,100487,ATUALIZACAO DE PASTA CADASTRO NOS EQUIPAMENTOS DE COLHEITA,"TODOS OS EQUIPAMENTOS FORAM ATUALIZADOS, ALGUNS DETALHES FORAM DESCRITOS NA ORDEM DE SERVICO",EQUIPAMENTOS ATUALIZADOS
22417,03/06/2025,160047,ATUALIZACAO DE PASTA CADASTRO NOS EQUIPAMENTOS DE COLHEITA,"TODOS OS EQUIPAMENTOS FORAM ATUALIZADOS, ALGUNS DETALHES FORAM DESCRITOS NA ORDEM DE SERVICO",EQUIPAMENTOS ATUALIZADOS
22417,03/06/2025,160053,ATUALIZACAO DE PASTA CADASTRO NOS EQUIPAMENTOS DE COLHEITA,"TODOS OS EQUIPAMENTOS FORAM ATUALIZADOS, ALGUNS DETALHES FORAM DESCRITOS NA ORDEM DE SERVICO",EQUIPAMENTOS ATUALIZADOS
22417,03/06/2025,160055,ATUALIZACAO DE PASTA CADASTRO NOS EQUIPAMENTOS DE COLHEITA,"TODOS OS EQUIPAMENTOS FORAM ATUALIZADOS, ALGUNS DETALHES FORAM DESCRITOS NA ORDEM DE SERVICO",EQUIPAMENTOS ATUALIZADOS
22417,03/06/2025,160059,ATUALIZACAO DE PASTA CADASTRO NOS EQUIPAMENTOS DE COLHEITA,"TODOS OS EQUIPAMENTOS FORAM ATUALIZADOS, ALGUNS DETALHES FORAM DESCRITOS NA ORDEM DE SERVICO",EQUIPAMENTOS ATUALIZADOS
22417,03/06/2025,160060,ATUALIZACAO DE PASTA CADASTRO NOS EQUIPAMENTOS DE COLHEITA,"TODOS OS EQUIPAMENTOS FORAM ATUALIZADOS, ALGUNS DETALHES FORAM DESCRITOS NA ORDEM DE SERVICO",EQUIPAMENTOS ATUALIZADOS
22417,03/06/2025,160061,ATUALIZACAO DE PASTA CADASTRO NOS EQUIPAMENTOS DE COLHEITA,"TODOS OS EQUIPAMENTOS FORAM ATUALIZADOS, ALGUNS DETALHES FORAM DESCRITOS NA ORDEM DE SERVICO",EQUIPAMENTOS ATUALIZADOS
22417,03/06/2025,160062,ATUALIZACAO DE PASTA CADASTRO NOS EQUIPAMENTOS DE COLHEITA,"TODOS OS EQUIPAMENTOS FORAM ATUALIZADOS, ALGUNS DETALHES FORAM DESCRITOS NA ORDEM DE SERVICO",EQUIPAMENTOS ATUALIZADOS
22417,03/06/2025,160063,ATUALIZACAO DE PASTA CADASTRO NOS EQUIPAMENTOS DE COLHEITA,"TODOS OS EQUIPAMENTOS FORAM ATUALIZADOS, ALGUNS DETALHES FORAM DESCRITOS NA ORDEM DE SERVICO",EQUIPAMENTOS ATUALIZADOS
22417,03/06/2025,160065,ATUALIZACAO DE PASTA CADASTRO NOS EQUIPAMENTOS DE COLHEITA,"TODOS OS EQUIPAMENTOS FORAM ATUALIZADOS, ALGUNS DETALHES FORAM DESCRITOS NA ORDEM DE SERVICO",EQUIPAMENTOS ATUALIZADOS
22417,03/06/2025,160066,ATUALIZACAO DE PASTA CADASTRO NOS EQUIPAMENTOS DE COLHEITA,"TODOS OS EQUIPAMENTOS FORAM ATUALIZADOS, ALGUNS DETALHES FORAM DESCRITOS NA ORDEM DE SERVICO",EQUIPAMENTOS ATUALIZADOS
22417,03/06/2025,160067,ATUALIZACAO DE PASTA CADASTRO NOS EQUIPAMENTOS DE COLHEITA,"TODOS OS EQUIPAMENTOS FORAM ATUALIZADOS, ALGUNS DETALHES FORAM DESCRITOS NA ORDEM DE SERVICO",EQUIPAMENTOS ATUALIZADOS
22417,03/06/2025,160068,ATUALIZACAO DE PASTA CADASTRO NOS EQUIPAMENTOS DE COLHEITA,"TODOS OS EQUIPAMENTOS FORAM ATUALIZADOS, ALGUNS DETALHES FORAM DESCRITOS NA ORDEM DE SERVICO",EQUIPAMENTOS ATUALIZADOS
22417,03/06/2025,161293,ATUALIZACAO DE PASTA CADASTRO NOS EQUIPAMENTOS DE COLHEITA,"TODOS OS EQUIPAMENTOS FORAM ATUALIZADOS, ALGUNS DETALHES FORAM DESCRITOS NA ORDEM DE SERVICO",EQUIPAMENTOS ATUALIZADOS
22417,03/06/2025,161294,ATUALIZACAO DE PASTA CADASTRO NOS EQUIPAMENTOS DE COLHEITA,"TODOS OS EQUIPAMENTOS FORAM ATUALIZADOS, ALGUNS DETALHES FORAM DESCRITOS NA ORDEM DE SERVICO",EQUIPAMENTOS ATUALIZADOS
22417,03/06/2025,180186,ATUALIZACAO DE PASTA CADASTRO NOS EQUIPAMENTOS DE COLHEITA,"TODOS OS EQUIPAMENTOS FORAM ATUALIZADOS, ALGUNS DETALHES FORAM DESCRITOS NA ORDEM DE SERVICO",EQUIPAMENTOS ATUALIZADOS
22417,03/06/2025,61187,ATUALIZACAO DE PASTA CADASTRO NOS EQUIPAMENTOS DE COLHEITA,"TODOS OS EQUIPAMENTOS FORAM ATUALIZADOS, ALGUNS DETALHES FORAM DESCRITOS NA ORDEM DE SERVICO",EQUIPAMENTOS ATUALIZADOS
22417,03/06/2025,71383,ATUALIZACAO DE PASTA CADASTRO NOS EQUIPAMENTOS DE COLHEITA,"TODOS OS EQUIPAMENTOS FORAM ATUALIZADOS, ALGUNS DETALHES FORAM DESCRITOS NA ORDEM DE SERVICO",EQUIPAMENTOS ATUALIZADOS
22417,03/06/2025,71385,ATUALIZACAO DE PASTA CADASTRO NOS EQUIPAMENTOS DE COLHEITA,"TODOS OS EQUIPAMENTOS FORAM ATUALIZADOS, ALGUNS DETALHES FORAM DESCRITOS NA ORDEM DE SERVICO",EQUIPAMENTOS ATUALIZADOS
22417,03/06/2025,71386,ATUALIZACAO DE PASTA CADASTRO NOS EQUIPAMENTOS DE COLHEITA,"TODOS OS EQUIPAMENTOS FORAM ATUALIZADOS, ALGUNS DETALHES FORAM DESCRITOS NA ORDEM DE SERVICO",EQUIPAMENTOS ATUALIZADOS
22417,03/06/2025,71387,ATUALIZACAO DE PASTA CADASTRO NOS EQUIPAMENTOS DE COLHEITA,"TODOS OS EQUIPAMENTOS FORAM ATUALIZADOS, ALGUNS DETALHES FORAM DESCRITOS NA ORDEM DE SERVICO",EQUIPAMENTOS ATUALIZADOS
